SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,sector,project_sector,company_id,case_id,gstin,revenue_cr,profit_cr,debt_cr,equity_cr,interest_expense_cr,scenario_type,trend_type
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,Basic Materials,Manufacturing,COMP_00001,CAM_00001,10SFFPI4264I1Z9,151.97854627723947,27.09850483055921,68.0486755659019,120.98059743296346,4.681644571331883,moderate_anomaly,growing
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,Financial Services,NBFC,COMP_00002,CAM_00002,15ETVRS6648D1Z3,402.1378072409132,40.376551444178936,393.9507767763547,262.63385118423645,5.538096073343629,normal,volatile
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,Financial Services,NBFC,COMP_00003,CAM_00003,25MZEHL0880V1Z7,210.9654945039725,23.66814338777612,141.1064348248548,94.0709565499032,1.500192994624721,normal,stable
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,Technology,IT,COMP_00004,CAM_00004,28VGVRW4292Y1Z5,284.866340702728,47.70162772271808,103.28877770462738,224.3952716333733,11.28150971878101,normal,stable
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,Industrials,Manufacturing,COMP_00005,CAM_00005,23ATYOD0747R1Z9,83.09689554624924,9.403787057978294,40.92355758502023,36.33355772997445,4.150808266113943,moderate_anomaly,growing
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,Financial Services,NBFC,COMP_00006,CAM_00006,21MTZFK9120F1Z4,145.2109396816379,12.765464934065005,136.97257916394616,91.3150527759641,7.617866774114939,normal,stable
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,Technology,IT,COMP_00007,CAM_00007,13NWEPV2400S1Z9,302.6358272697505,29.6505788554406,313.91333115794373,216.6169206048182,29.99156995197612,normal,declining
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-DEC-2010,10,1,INE619I01012,10,Industrials,Manufacturing,COMP_00008,CAM_00008,15ADTHM3142K1Z2,26.33564639717388,1.869572268742506,8.675690842171393,18.040959261662906,0.990702845623692,normal,stable
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10,Technology,IT,COMP_00009,CAM_00009,35PFZAN3753H1Z6,30.53265272387973,4.2957648249812745,16.885132218342612,15.286007581589107,1.546089358512719,moderate_anomaly,stable
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,Financial Services,NBFC,COMP_00010,CAM_00010,16GPSTO7060T1Z7,266.9943385626492,19.7518302440701,207.11634537873093,138.10641117820808,21.61027337053849,normal,growing
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,Energy,Infrastructure,COMP_00011,CAM_00011,24PWZZB5891J1Z9,873.77723666848,60.02482149531463,499.47630079790105,510.3726623987719,39.30807057452182,normal,stable
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10,Healthcare,Pharma,COMP_00012,CAM_00012,23LTQEB2703G1Z8,575.0633714582793,91.34775529805444,499.47630079790105,389.8320750012194,39.30807057452182,normal,stable
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,Industrials,Manufacturing,COMP_00013,CAM_00013,19BUAOB7937G1Z8,98.61775734739224,9.036357042927795,41.25778856334029,69.31496730611794,4.555622684604906,normal,stable
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5,Industrials,Manufacturing,COMP_00014,CAM_00014,19OKDKG0313L1Z2,341.66478769853,52.13729957241896,89.78708323893966,246.74601399363948,10.376088545881762,moderate_anomaly,stable
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,Healthcare,Pharma,COMP_00015,CAM_00015,19CDKZS8244R1Z3,444.6248325052653,49.35312391290388,126.43746040627816,233.4071505345545,8.292155251220555,normal,growing
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,Basic Materials,Manufacturing,COMP_00016,CAM_00016,30HHCSL5278Y1Z4,341.56324414243244,20.98463900796981,93.113740804063,148.092005721928,9.84681387422484,normal,stable
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5,Healthcare,Pharma,COMP_00017,CAM_00017,28XXPYA0985E1Z4,218.5046060783997,22.68868433214049,153.34151526407453,137.0679858245932,14.467453906653793,normal,volatile
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10,Basic Materials,Manufacturing,COMP_00018,CAM_00018,36URSLY1220U1Z4,257.71788714012456,18.46652507285655,131.5702504669359,178.20188501096763,13.98923486577414,normal,stable
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10,Industrials,Manufacturing,COMP_00019,CAM_00019,13RCYWR2385V1Z3,129.96890531274522,15.404130467410372,113.71975035722622,93.1376710808908,7.861937974839634,normal,stable
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,Financial Services,NBFC,COMP_00020,CAM_00020,18PWFXA2920V1Z6,333.506641540177,36.4984901614931,200.6845685175776,133.78971234505173,6.096410651334414,normal,growing
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2,Energy,Infrastructure,COMP_00021,CAM_00021,18POSBB3447T1Z4,385.8439897197875,36.29790205369255,74.98591730977473,182.371488718572,7.897773189920341,extreme_anomaly,declining
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,Industrials,Manufacturing,COMP_00022,CAM_00022,21PMWRR4148H1Z9,342.37406418728614,56.146078084175365,93.26510171460536,209.69961785618133,4.906687682970597,normal,stable
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,Healthcare,Pharma,COMP_00023,CAM_00023,12DSPZW1249H1Z4,53.5084502626496,3.36129194695074,60.22827329729213,42.146758929831165,3.1606289021101173,normal,volatile
