case_id,company_id,assessment_year,financial_year,declared_gross_income,declared_net_income,total_tax_paid,depreciation_claimed,director_remuneration_total,itr_vs_financials_profit_divergence,cross_verification_flag,extraction_confidence_score,source_document_id,processed_timestamp
CAM_00001,COMP_00001,AY2022-23,FY2021-22,1724630266.57,257486765.48,53240968.03,99353706.63,3804689.82,5870492.06,False,87.51,ITR_DOC_COMP_00001,2026-03-09 14:54:07.510236
CAM_00001,COMP_00001,AY2023-24,FY2022-23,1688209231.06,258139744.24,58774830.54,104510160.96,12838958.4,-16705497.78,False,87.07,ITR_DOC_COMP_00001,2026-03-09 14:54:07.510236
CAM_00001,COMP_00001,AY2024-25,FY2023-24,1702046807.31,251901351.73,57333135.93,140166767.43,4129161.73,-9071366.81,False,90.18,ITR_DOC_COMP_00001,2026-03-09 14:54:07.510236
CAM_00002,COMP_00002,AY2022-23,FY2021-22,3242729502.64,437862629.09,99001163.07,177497724.37,11083119.51,26169025.32,False,89.14,ITR_DOC_COMP_00002,2026-03-09 14:54:07.510236
CAM_00002,COMP_00002,AY2023-24,FY2022-23,3250821296.7,410905696.32,94688053.9,238031239.12,16660555.3,0.0,False,95.42,ITR_DOC_COMP_00002,2026-03-09 14:54:07.510236
CAM_00002,COMP_00002,AY2024-25,FY2023-24,3862998453.99,404726987.1,85644270.43,230737206.65,9143947.83,19630741.8,False,89.09,ITR_DOC_COMP_00002,2026-03-09 14:54:07.510236
CAM_00003,COMP_00003,AY2022-23,FY2021-22,2022170836.17,234765448.74,51512712.63,97663378.98,4129500.43,0.0,False,97.6,ITR_DOC_COMP_00003,2026-03-09 14:54:07.510236
CAM_00003,COMP_00003,AY2023-24,FY2022-23,2191463042.45,251255379.04,59907180.91,221766694.57,3312402.14,0.0,False,98.12,ITR_DOC_COMP_00003,2026-03-09 14:54:07.510236
CAM_00003,COMP_00003,AY2024-25,FY2023-24,2040822806.72,227754610.05,50089869.96,214523842.64,10741152.87,0.0,False,95.97,ITR_DOC_COMP_00003,2026-03-09 14:54:07.510236
CAM_00004,COMP_00004,AY2022-23,FY2021-22,2940785017.8,474304277.43,117218050.43,344891091.61,12528518.96,0.0,False,98.75,ITR_DOC_COMP_00004,2026-03-09 14:54:07.510236
