case_id,company_id,company_cin,sector,dscr,debt_to_equity,interest_coverage,current_ratio,ebitda_margin,pat_margin,revenue_cagr,alm_short_term_gap_pct,gross_npa_pct,net_npa_pct,pcr
CAM_00001,COMP_00001,L16313BR2010PLC000001,Basic Materials,,,,,,,,-323404716.0,,,
CAM_00002,COMP_00002,L74195MZ2010PLC000002,Financial Services,,,,,,,,807242195.0,5.8500000000000005,1.8657142857142859,68.1
CAM_00003,COMP_00003,L11613DN2010PLC000003,Financial Services,,,,,,,,-192938200.0,4.162857142857143,1.2771428571428571,69.3
CAM_00004,COMP_00004,L99217AP2010PLC000004,Technology,,,,,,,,-53523899.0,,,
CAM_00005,COMP_00005,L35036MP2010PLC000005,Industrials,,,,,,,,-4050415.0,,,
CAM_00006,COMP_00006,L87095OR2010PLC000006,Financial Services,,,,,,,,-83696645.0,5.438571428571429,0.9085714285714285,83.3
CAM_00007,COMP_00007,L32483NL2010PLC000007,Technology,,,,,,,,44835063.0,,,
CAM_00008,COMP_00008,L33540MZ2010PLC000008,Industrials,,,,,,,,-257842987.0,,,
CAM_00009,COMP_00009,L44979AN2010PLC000009,Technology,,,,,,,,95583470.0,,,
CAM_00010,COMP_00010,L35060TR2010PLC000010,Financial Services,,,,,,,,682410454.0,5.988571428571428,1.227142857142857,79.5
CAM_00011,COMP_00011,L32392GJ2010PLC000011,Energy,,,,,,,,-227207690.0,,,
CAM_00012,COMP_00012,L43615MP2010PLC000012,Healthcare,,,,,,,,-69348913.0,,,
CAM_00013,COMP_00013,L90086WB2010PLC000013,Industrials,,,,,,,,-162938954.0,,,
CAM_00014,COMP_00014,L88831WB2010PLC000014,Industrials,,,,,,,,235381182.0,,,
CAM_00015,COMP_00015,L89692WB2010PLC000015,Healthcare,,,,,,,,879518149.0,,,
CAM_00016,COMP_00016,L18692GA2010PLC000016,Basic Materials,,,,,,,,340093716.0,,,
CAM_00017,COMP_00017,L20702AP2010PLC000017,Healthcare,,,,,,,,312792067.0,,,
CAM_00018,COMP_00018,L13555TS2010PLC000018,Basic Materials,,,,,,,,200889780.0,,,
CAM_00019,COMP_00019,L59839NL2010PLC000019,Industrials,,,,,,,,-296324012.0,,,
CAM_00020,COMP_00020,L90990AS2010PLC000020,Financial Services,,,,,,,,-133287320.0,4.2,1.292857142857143,69.2
CAM_00021,COMP_00021,L13871AS2010PLC000021,Energy,,,,,,,,-32073984.0,,,
CAM_00022,COMP_00022,L81705OR2010PLC000022,Industrials,,,,,,,,-121615341.0,,,
CAM_00023,COMP_00023,L60989AR2010PLC000023,Healthcare,,,,,,,,256837990.0,,,
CAM_00024,COMP_00024,L13834KL2010PLC000024,Financial Services,,,,,,,,100349322.0,5.074285714285714,0.9500000000000001,81.3
CAM_00025,COMP_00025,L22958DN2010PLC000025,Consumer Cyclical,,,,,,,,-93527704.0,,,
CAM_00026,COMP_00026,L99803NL2010PLC000026,Consumer Defensive,,,,,,,,-139258213.0,,,
CAM_00027,COMP_00027,L16852LD2010PLC000027,Consumer Cyclical,,,,,,,,73742731.0,,,
CAM_00028,COMP_00028,L83280ML2010PLC000028,Industrials,,,,,,,,-206442075.0,,,
CAM_00029,COMP_00029,L92766KL2010PLC000029,Consumer Cyclical,,,,,,,,976369865.0,,,
CAM_00030,COMP_00030,L39972PY2010PLC000030,Basic Materials,,,,,,,,-93222471.0,,,
CAM_00031,COMP_00031,L57630DD2010PLC000031,Real Estate,,,,,,,,849933014.0,,,
CAM_00032,COMP_00032,L17870ML2010PLC000032,Financial Services,,,,,,,,-82678203.0,6.291428571428571,2.29,63.6
CAM_00033,COMP_00033,L70977MZ2010PLC000033,Basic Materials,,,,,,,,-169687810.0,,,
CAM_00034,COMP_00034,L78430ML2010PLC000034,Technology,,,,,,,,236240568.0,,,
CAM_00035,COMP_00035,L54657DD2010PLC000035,Industrials,,,,,,,,-597069063.0,,,
CAM_00036,COMP_00036,L63429MP2010PLC000036,Industrials,,,,,,,,392924696.0,,,
CAM_00037,COMP_00037,L99271AR2010PLC000037,Industrials,,,,,,,,-137954487.0,,,
CAM_00038,COMP_00038,L45563GJ2010PLC000038,Basic Materials,,,,,,,,-59294155.0,,,
CAM_00039,COMP_00039,L77856CG2010PLC000039,Basic Materials,,,,,,,,517484315.0,,,
CAM_00040,COMP_00040,L20826MP2010PLC000040,Utilities,,,,,,,,-287766071.0,,,
CAM_00041,COMP_00041,L69620DN2010PLC000041,Basic Materials,,,,,,,,-333576679.0,,,
CAM_00042,COMP_00042,L86899TR2010PLC000042,Utilities,,,,,,,,-40652857.0,,,
CAM_00043,COMP_00043,L74762TR2010PLC000043,Energy,,,,,,,,986062625.0,,,
CAM_00044,COMP_00044,L75558LD2010PLC000044,Utilities,,,,,,,,97987308.0,,,
CAM_00045,COMP_00045,L75701MN2010PLC000045,Industrials,,,,,,,,-180891731.0,,,
CAM_00046,COMP_00046,L16145MZ2010PLC000046,Utilities,,,,,,,,-137081645.0,,,
CAM_00047,COMP_00047,L34538MH2010PLC000047,Consumer Defensive,,,,,,,,-216473316.0,,,
CAM_00048,COMP_00048,L23293JH2010PLC000048,Consumer Cyclical,,,,,,,,-109246220.0,,,
CAM_00049,COMP_00049,L70752MP2010PLC000049,Industrials,,,,,,,,3901520.0,,,
CAM_00050,COMP_00050,L35631TS2010PLC000050,Technology,,,,,,,,-493270958.0,,,
CAM_00051,COMP_00051,L43773CG2010PLC000051,Technology,,,,,,,,-123122978.0,,,
CAM_00052,COMP_00052,L82861GJ2010PLC000052,Industrials,,,,,,,,334428377.0,,,
CAM_00053,COMP_00053,L55089TN2010PLC000053,Basic Materials,,,,,,,,-64863254.0,,,
CAM_00054,COMP_00054,L48427KL2010PLC000054,Consumer Cyclical,,,,,,,,-379799625.0,,,
CAM_00055,COMP_00055,L45594MN2010PLC000055,Consumer Cyclical,,,,,,,,161515291.0,,,
CAM_00056,COMP_00056,L93059OR2010PLC000056,Basic Materials,,,,,,,,1278263754.0,,,
CAM_00057,COMP_00057,L45399MP2010PLC000057,Energy,,,,,,,,310183656.0,,,
CAM_00058,COMP_00058,L82875JH2010PLC000058,Energy,,,,,,,,281157973.0,,,
CAM_00059,COMP_00059,L53605GA2010PLC000059,Industrials,,,,,,,,-167314867.0,,,
CAM_00060,COMP_00060,L72779GA2010PLC000060,Basic Materials,,,,,,,,273645132.0,,,
CAM_00061,COMP_00061,L21296NL2010PLC000061,Industrials,,,,,,,,-49364188.0,,,
