case_id,company_id,company_cin,sector,character_score,capacity_score,capital_score,collateral_score,conditions_score,composite_score,decision,character_label,capacity_label,capital_label,collateral_label,conditions_label,computed_at
CAM_00001,COMP_00001,L16313BR2010PLC000001,Basic Materials,8.07,5.04,5.0,5.95,5.2,6.05,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.521493
CAM_00002,COMP_00002,L74195MZ2010PLC000002,Financial Services,9.55,4.76,5.0,5.72,6.5,6.52,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.570683
CAM_00003,COMP_00003,L11613DN2010PLC000003,Financial Services,7.58,4.67,5.0,5.9,4.5,5.71,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Adverse,2026-03-12T15:06:25.613440
CAM_00004,COMP_00004,L99217AP2010PLC000004,Technology,9.55,5.06,5.0,5.93,6.5,6.63,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.655848
CAM_00005,COMP_00005,L35036MP2010PLC000005,Industrials,9.55,5.24,5.0,5.97,6.5,6.68,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.701818
CAM_00006,COMP_00006,L87095OR2010PLC000006,Financial Services,7.78,4.78,5.0,5.9,6.5,6.01,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.745630
CAM_00007,COMP_00007,L32483NL2010PLC000007,Technology,9.55,4.65,5.0,5.78,6.5,6.49,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.796332
CAM_00008,COMP_00008,L33540MZ2010PLC000008,Industrials,9.55,4.8,5.0,5.99,6.5,6.55,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.852315
CAM_00009,COMP_00009,L44979AN2010PLC000009,Technology,9.55,5.26,5.0,5.99,6.5,6.69,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.893059
CAM_00010,COMP_00010,L35060TR2010PLC000010,Financial Services,7.87,4.35,5.0,5.86,6.5,5.9,REFER TO SENIOR CREDIT COMMITTEE,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.935036
CAM_00011,COMP_00011,L32392GJ2010PLC000011,Energy,9.55,4.29,5.0,5.65,6.5,6.37,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:25.976879
CAM_00012,COMP_00012,L43615MP2010PLC000012,Healthcare,8.1,5.21,5.0,5.65,6.5,6.21,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.020958
CAM_00013,COMP_00013,L90086WB2010PLC000013,Industrials,8.06,5.24,5.0,5.97,6.2,6.21,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.062904
CAM_00014,COMP_00014,L88831WB2010PLC000014,Industrials,9.55,5.19,5.0,5.94,6.5,6.67,APPROVE WITH CONDITIONS,Low Risk,Stressed,Moderate,Insufficient,Neutral,2026-03-12T15:06:26.104753
