company_cin,company_name,graph_risk_score,company_inactive_flag,has_active_drt_case,has_active_nclt_case,has_live_charges,live_charges_total_inr,n_directors,avg_director_stress_score,contagion_risk_score,network_degree,risk_components,computed_timestamp
L16313BR2010PLC000001,20 MICRONS LIMITED,3.0,False,False,False,True,238170364.48,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.730427
L74195MZ2010PLC000002,21ST CENTURY MANAGEMENT SERVIC,3.0,False,False,False,True,1378827718.72,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.736529
L11613DN2010PLC000003,360 ONE WAM LIMITED,3.0,False,False,False,True,493872521.89,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.743424
L99217AP2010PLC000004,3I INFOTECH LIMITED,3.0,False,False,False,True,361510721.97,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.749129
L35036MP2010PLC000005,3M INDIA LIMITED,3.0,False,False,False,True,143232451.55,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.755122
L87095OR2010PLC000006,5PAISA CAPITAL LIMITED,3.0,False,False,False,True,479404027.07,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.760545
L32483NL2010PLC000007,63 MOONS TECHNOLOGIES LIMITED,3.0,False,False,False,True,1098696659.05,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.765937
L33540MZ2010PLC000008,A2Z INFRA ENGINEERING LIMITED,3.0,False,False,False,True,30364917.95,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.771254
L44979AN2010PLC000009,AAA TECHNOLOGIES LIMITED,3.0,False,False,False,True,59097962.76,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.776516
L35060TR2010PLC000010,AADHAR HOUSING FINANCE LIMITED,3.0,False,False,False,True,724907208.83,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.781776
L32392GJ2010PLC000011,AAKASH EXPLORATION SERVICES LI,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.787702
L43615MP2010PLC000012,AAREY DRUGS & PHARMACEUTICALS ,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.793154
L90086WB2010PLC000013,AARON INDUSTRIES LIMITED,3.0,False,False,False,True,144402259.97,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.798804
L88831WB2010PLC000014,AARTECH SOLONICS LIMITED,3.0,False,False,False,True,314254791.34,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.804616
L89692WB2010PLC000015,AARTI DRUGS LIMITED,3.0,False,False,False,True,442531111.42,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.809980
L18692GA2010PLC000016,AARTI INDUSTRIES LIMITED,3.0,False,False,False,True,325898092.81,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.815953
L20702AP2010PLC000017,AARTI PHARMALABS LIMITED,3.0,False,False,False,True,536695303.42,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.821392
L13555TS2010PLC000018,AARTI SURFACTANTS LIMITED,3.0,False,False,False,True,460495876.63,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.827435
L59839NL2010PLC000019,AARVI ENCON LIMITED,3.0,False,False,False,True,398019126.25,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.832962
L90990AS2010PLC000020,AAVAS FINANCIERS LIMITED,3.0,False,False,False,True,702395989.81,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.838698
L13871AS2010PLC000021,ABAN OFFSHORE LIMITED,3.0,False,False,False,True,262450710.58,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.844994
L81705OR2010PLC000022,ABB INDIA LIMITED,3.0,False,False,False,True,326427856.0,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.851015
L60989AR2010PLC000023,ABBOTT INDIA LIMITED,3.0,False,False,False,True,210798956.54,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.857302
L13834KL2010PLC000024,ADITYA BIRLA CAPITAL LIMITED,3.0,False,False,False,True,1166430924.54,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.862855
L22958DN2010PLC000025,A B COTSPIN INDIA LIMITED,3.0,False,False,False,True,157131184.81,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.868215
L99803NL2010PLC000026,ALLIED BLENDERS AND DISTILLERS,3.0,False,False,False,True,287933540.24,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.874227
L16852LD2010PLC000027,ADITYA BIRLA FASHION AND RETAI,3.0,False,False,False,True,257193797.87,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.881194
L83280ML2010PLC000028,A B INFRABUILD LIMITED,3.0,False,False,False,True,1159430916.41,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.888047
L92766KL2010PLC000029,ADITYA BIRLA LIFESTYLE BRANDS ,3.0,False,False,False,True,46676223.33,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.895373
L39972PY2010PLC000030,ABM INTERNATIONAL LIMITED,3.0,False,False,False,True,833324158.45,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.902662
L57630DD2010PLC000031,ADITYA BIRLA REAL ESTATE LIMIT,3.0,False,False,False,True,1141399279.64,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.909944
L17870ML2010PLC000032,ADITYA BIRLA SUN LIFE AMC LIMI,3.0,False,False,False,True,1748167052.79,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.916938
L70977MZ2010PLC000033,ACC LIMITED,3.0,False,False,False,True,112615874.93,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.924287
L78430ML2010PLC000034,ACCELYA SOLUTIONS INDIA LIMITE,3.0,False,False,False,True,701966978.22,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.931472
L54657DD2010PLC000035,ACCURACY SHIPPING LIMITED,3.0,False,False,False,True,524442312.96,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.940876
L63429MP2010PLC000036,ACTION CONSTRUCTION EQUIPMENT ,3.0,False,False,False,True,876076013.87,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.949513
L99271AR2010PLC000037,ACE INTEGRATED SOLUTIONS LIMIT,3.0,False,False,False,True,169049766.06,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.959342
L45563GJ2010PLC000038,ARCHEAN CHEMICAL INDUSTRIES LI,3.0,False,False,False,True,117211847.38,3,10.0,0.0,5,"{""inactive_company"": 0.0, ""drt_case"": 0.0, ""nclt_case"": 0.0, ""director_stress"": 3.0, ""contagion_risk"": 0.0}",2026-03-12T13:38:26.966382
