case_id,company_id,company_cin,sector,anomaly_score_raw,anomaly_score_normalized,isolation_forest_label,anomaly_classification,feature_percentile_ranks,n_sector_peers,model_n_estimators,processed_timestamp
CAM_00001,COMP_00001,L16313BR2010PLC000001,Basic Materials,-0.532143,0.5725,outlier,anomalous,"{""dscr"": 83.0, ""debt_to_equity"": 19.7, ""interest_coverage"": 90.5, ""ebitda_margin"": 84.9, ""pat_margin"": 98.4}",370,200,2026-03-12T13:20:09.011559
CAM_00016,COMP_00016,L18692GA2010PLC000016,Basic Materials,-0.470581,0.8033,normal,normal,"{""dscr"": 70.5, ""debt_to_equity"": 25.1, ""interest_coverage"": 36.8, ""ebitda_margin"": 4.1, ""pat_margin"": 7.6}",370,200,2026-03-12T13:20:09.011826
CAM_00018,COMP_00018,L13555TS2010PLC000018,Basic Materials,-0.460123,0.8425,normal,normal,"{""dscr"": 30.0, ""debt_to_equity"": 33.0, ""interest_coverage"": 11.9, ""ebitda_margin"": 23.2, ""pat_margin"": 16.8}",370,200,2026-03-12T13:20:09.012034
CAM_00030,COMP_00030,L39972PY2010PLC000030,Basic Materials,-0.445405,0.8977,normal,normal,"{""dscr"": 34.9, ""debt_to_equity"": 67.3, ""interest_coverage"": 44.6, ""ebitda_margin"": 87.3, ""pat_margin"": 78.1}",370,200,2026-03-12T13:20:09.012234
CAM_00033,COMP_00033,L70977MZ2010PLC000033,Basic Materials,-0.450942,0.8769,normal,normal,"{""dscr"": 68.4, ""debt_to_equity"": 23.5, ""interest_coverage"": 49.2, ""ebitda_margin"": 5.9, ""pat_margin"": 12.2}",370,200,2026-03-12T13:20:09.012424
CAM_00038,COMP_00038,L45563GJ2010PLC000038,Basic Materials,-0.433028,0.9441,normal,normal,"{""dscr"": 19.2, ""debt_to_equity"": 70.3, ""interest_coverage"": 21.4, ""ebitda_margin"": 60.3, ""pat_margin"": 44.1}",370,200,2026-03-12T13:20:09.012633
CAM_00039,COMP_00039,L77856CG2010PLC000039,Basic Materials,-0.461013,0.8391,normal,normal,"{""dscr"": 88.6, ""debt_to_equity"": 18.4, ""interest_coverage"": 86.2, ""ebitda_margin"": 36.5, ""pat_margin"": 55.7}",370,200,2026-03-12T13:20:09.012835
CAM_00041,COMP_00041,L69620DN2010PLC000041,Basic Materials,-0.443503,0.9048,normal,normal,"{""dscr"": 27.3, ""debt_to_equity"": 78.4, ""interest_coverage"": 24.3, ""ebitda_margin"": 23.0, ""pat_margin"": 21.6}",370,200,2026-03-12T13:20:09.013021
CAM_00053,COMP_00053,L55089TN2010PLC000053,Basic Materials,-0.428731,0.9602,normal,normal,"{""dscr"": 53.0, ""debt_to_equity"": 33.5, ""interest_coverage"": 60.3, ""ebitda_margin"": 30.0, ""pat_margin"": 40.0}",370,200,2026-03-12T13:20:09.013204
CAM_00056,COMP_00056,L93059OR2010PLC000056,Basic Materials,-0.451508,0.8748,normal,normal,"{""dscr"": 43.2, ""debt_to_equity"": 35.4, ""interest_coverage"": 25.1, ""ebitda_margin"": 10.5, ""pat_margin"": 11.1}",370,200,2026-03-12T13:20:09.013384
