case_id,total_signals,critical_count,high_count,medium_count,total_score_impact,velocity_signals,triangulation_signals,sentiment_signals,contagion_signals,primary_c_affected,company_id,sector
CAM_00001,4,1,2,0,0.0,1,2,0,1,Character,COMP_00001,Basic Materials
CAM_00002,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00002,Financial Services
CAM_00003,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00003,Financial Services
CAM_00004,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00004,Technology
CAM_00005,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00005,Industrials
CAM_00006,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00006,Financial Services
CAM_00007,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00007,Technology
CAM_00008,4,1,1,1,0.3999999999999999,1,2,0,1,Character,COMP_00008,Industrials
CAM_00009,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00009,Technology
CAM_00010,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00010,Financial Services
CAM_00011,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00011,Energy
CAM_00012,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00012,Healthcare
CAM_00013,4,1,2,0,0.0,1,2,0,1,Character,COMP_00013,Industrials
CAM_00014,4,1,2,0,0.0,1,2,0,1,Character,COMP_00014,Industrials
CAM_00015,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00015,Healthcare
CAM_00016,4,1,2,0,0.0,1,2,0,1,Character,COMP_00016,Basic Materials
CAM_00017,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00017,Healthcare
CAM_00018,4,1,2,0,0.0,1,2,0,1,Character,COMP_00018,Basic Materials
CAM_00019,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00019,Industrials
CAM_00020,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00020,Financial Services
CAM_00021,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00021,Energy
CAM_00022,4,1,2,0,0.0,1,2,0,1,Character,COMP_00022,Industrials
CAM_00023,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00023,Healthcare
CAM_00024,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00024,Financial Services
CAM_00025,4,1,2,0,0.0,1,2,0,1,Character,COMP_00025,Consumer Cyclical
CAM_00026,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00026,Consumer Defensive
CAM_00027,4,1,2,0,0.0,1,2,0,1,Character,COMP_00027,Consumer Cyclical
CAM_00028,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00028,Industrials
CAM_00029,2,1,1,0,0.5,0,1,0,1,Character,COMP_00029,Consumer Cyclical
CAM_00030,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00030,Basic Materials
CAM_00031,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00031,Real Estate
CAM_00032,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00032,Financial Services
CAM_00033,4,1,2,0,0.0,1,2,0,1,Character,COMP_00033,Basic Materials
CAM_00034,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00034,Technology
CAM_00035,4,1,2,0,0.0,1,2,0,1,Character,COMP_00035,Industrials
CAM_00036,4,1,2,0,0.0,1,2,0,1,Character,COMP_00036,Industrials
CAM_00037,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00037,Industrials
CAM_00038,4,1,2,0,0.0,1,2,0,1,Character,COMP_00038,Basic Materials
CAM_00039,4,1,2,0,0.0,1,2,0,1,Character,COMP_00039,Basic Materials
CAM_00040,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00040,Utilities
CAM_00041,4,1,2,0,0.0,1,2,0,1,Character,COMP_00041,Basic Materials
CAM_00042,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00042,Utilities
CAM_00043,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00043,Energy
CAM_00044,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00044,Utilities
CAM_00045,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00045,Industrials
CAM_00046,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00046,Utilities
CAM_00047,4,1,2,0,0.0,1,2,0,1,Character,COMP_00047,Consumer Defensive
CAM_00048,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00048,Consumer Cyclical
CAM_00049,4,1,2,0,0.0,1,2,0,1,Character,COMP_00049,Industrials
CAM_00050,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00050,Technology
CAM_00051,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00051,Technology
CAM_00052,4,1,2,0,0.0,1,2,0,1,Character,COMP_00052,Industrials
CAM_00053,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00053,Basic Materials
CAM_00054,4,1,2,0,0.0,1,2,0,1,Character,COMP_00054,Consumer Cyclical
CAM_00055,4,1,2,0,0.0,1,2,0,1,Character,COMP_00055,Consumer Cyclical
CAM_00056,4,1,2,0,0.0,1,2,0,1,Character,COMP_00056,Basic Materials
CAM_00057,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00057,Energy
CAM_00058,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00058,Energy
CAM_00059,4,1,2,0,0.0,1,2,0,1,Character,COMP_00059,Industrials
CAM_00060,4,1,2,0,0.0,1,2,0,1,Character,COMP_00060,Basic Materials
CAM_00061,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00061,Industrials
CAM_00062,4,1,2,0,0.0,1,2,0,1,Character,COMP_00062,Consumer Cyclical
CAM_00063,4,1,2,0,0.0,1,2,0,1,Character,COMP_00063,Basic Materials
CAM_00064,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00064,Industrials
CAM_00065,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00065,Communication Services
CAM_00066,4,1,2,0,0.0,1,2,0,1,Character,COMP_00066,Industrials
CAM_00067,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00067,Financial Services
CAM_00068,4,1,3,0,-1.5,1,2,0,1,Character,COMP_00068,Financial Services
CAM_00069,4,1,2,0,0.0,1,2,0,1,Character,COMP_00069,Basic Materials
CAM_00070,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00070,Healthcare
CAM_00071,4,1,2,0,0.0,1,2,0,1,Character,COMP_00071,Consumer Cyclical
CAM_00072,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00072,Real Estate
CAM_00073,4,1,2,0,0.0,1,2,0,1,Character,COMP_00073,Consumer Defensive
CAM_00074,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00074,Basic Materials
CAM_00075,3,1,2,0,-0.5,0,2,0,1,Character,COMP_00075,Technology
