portfolio_id,case_id,company_id,borrower_name,sector,project_sector,scenario_type,trend_type,lender_type,portfolio_category,secured_unsecured,retail_corporate,portfolio_outstanding_inr,portfolio_share_pct,gross_npa_pct,net_npa_pct,npa_trend_qoq_ppts,write_off_ratio_pct,company_gross_npa_pct,company_net_npa_pct,restructured_assets_pct,provisioning_coverage_ratio,credit_cost_pct,top_10_borrower_concentration_pct,top_5_sector_concentration_pct,return_on_assets_pct,net_interest_margin_pct,capital_adequacy_ratio_pct,vintage_2020_npa_pct,vintage_2021_npa_pct,vintage_2022_npa_pct,vintage_2023_npa_pct,vintage_2024_npa_pct,feeds_capacity,feeds_capital,feeds_conditions,feeds_character,data_as_of_date,reporting_period,source_document_id,extraction_confidence,risk_flags
PORT_CAM_00002_01,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,secured_retail,secured,retail,4834729841.69,22.6,4.98,1.59,-0.2,0.37,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,7.67,7.67,4.48,2.99,1.0,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,high,none
PORT_CAM_00002_02,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,unsecured_retail,unsecured,retail,4237741799.33,19.8,6.91,2.2,0.59,2.07,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,10.64,10.64,6.22,4.15,1.38,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,medium,none
PORT_CAM_00002_03,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,msme,unsecured,corporate,4012548187.48,18.7,5.44,1.74,0.71,0.36,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,8.38,8.38,4.9,3.26,1.09,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,high,none
PORT_CAM_00002_04,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,vehicle_finance,secured,corporate,2391756727.95,11.2,5.77,1.84,0.38,2.02,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,8.89,8.89,5.19,3.46,1.15,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,medium,none
PORT_CAM_00002_05,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,gold_loan,secured,retail,2381502025.07,11.1,3.25,1.04,-0.22,0.93,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,5.0,5.0,2.93,1.95,0.65,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,high,none
PORT_CAM_00002_06,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,personal_loan,unsecured,retail,2268864102.04,10.6,7.22,2.3,0.64,2.53,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,11.12,11.12,6.5,4.33,1.44,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,high,none
PORT_CAM_00002_07,CAM_00002,COMP_00002,21st Century Management Services Limited,Financial Services,NBFC,normal,volatile,nbfc_retail,microfinance,unsecured,retail,1288693102.45,6.0,7.38,2.35,0.4,1.2,5.24,1.67,1.67,68.1,1.8,11.8,67.4,1.98,6.93,27.5,11.37,11.37,6.64,4.43,1.48,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00002,high,none
PORT_CAM_00003_01,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,secured_retail,secured,retail,4826065679.73,21.6,4.36,1.34,-0.05,0.42,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,6.71,6.71,3.92,2.62,0.87,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,high,none
PORT_CAM_00003_02,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,unsecured_retail,unsecured,retail,4381842082.73,19.6,4.83,1.48,-0.11,0.66,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,7.44,7.44,4.35,2.9,0.97,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,medium,none
PORT_CAM_00003_03,CAM_00003,COMP_00003,360 ONE WAM LIMITED,Financial Services,NBFC,normal,stable,nbfc_retail,msme,unsecured,corporate,4152462724.66,18.6,4.43,1.36,-0.09,0.77,3.74,1.15,1.85,69.3,1.18,15.1,51.0,2.85,7.28,22.0,6.82,6.82,3.99,2.66,0.89,True,True,True,False,2025-02-28,FY2024,PORT_DOC_CAM_00003,high,none
